view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,std_train_f1,mean_test_f1,std_test_f1
overhead,all_plug,2024-12-30,0.9833333333333332,0.03726779962499651,0.7333333333333333,0.190029237516523,0.9830687830687831,0.03785935199999644,0.6799999999999999,0.22310934040908686
overhead,all_plug,2024-12-31,0.9916666666666668,0.01863389981249823,0.7333333333333333,0.19002923751652304,0.9916339869281046,0.018706973929409985,0.7022222222222222,0.2129162589689509
overhead,new_growth,2024-12-21,0.775,0.06972166887783961,0.6,0.14907119849998599,0.7737716211090825,0.06922241814905558,0.611111111111111,0.1335646142241257
overhead,new_growth,2024-12-22,0.925,0.07453559924999298,0.7666666666666667,0.09128709291752773,0.9259150326797385,0.07345126566321286,0.76,0.0852012867230259
overhead,new_growth,2024-12-23,0.95,0.07453559924999298,0.7333333333333332,0.149071198499986,0.9487439249203955,0.07695772461727926,0.7244444444444443,0.15404023844998552
overhead,new_growth,2024-12-24,0.9416666666666667,0.08640183897219886,0.6666666666666667,0.16666666666666669,0.9428669713499435,0.08364301974776119,0.6466666666666667,0.18599084007711936
overhead,new_growth,2024-12-25,0.925,0.045643546458763846,0.7,0.13944333775567927,0.9237114845938376,0.046632651172624155,0.6844444444444445,0.14753112247510844
overhead,new_growth,2024-12-26,0.8416666666666668,0.08014743359029729,0.7,0.2173067468400883,0.8407153630683043,0.08006911533330363,0.6558730158730158,0.2629210680646379
overhead,new_growth,2024-12-27,0.8416666666666668,0.06180165405913051,0.7,0.24720661623652213,0.8364313561681982,0.06506368022411346,0.6644444444444445,0.2680980104549016
overhead,new_growth,2024-12-28,0.9666666666666668,0.054326686710022075,0.7666666666666667,0.190029237516523,0.9663694366635542,0.054891069214614424,0.7644444444444445,0.18213412504572787
overhead,new_growth,2024-12-29,0.8666666666666668,0.07453559924999299,0.7666666666666666,0.09128709291752772,0.8608433058742657,0.08322818727557736,0.7577777777777778,0.08833158628600801
overhead,new_growth,2024-12-30,0.95,0.07453559924999298,0.8,0.1394433377556793,0.9477777777777778,0.07892018158702115,0.7911111111111111,0.14345817130292804
overhead,new_growth,2024-12-31,0.9583333333333334,0.0721687836487032,0.6333333333333333,0.1825741858350554,0.9580361033302209,0.07274159024561203,0.6133333333333333,0.2062899792902107
overhead,old_growth,2024-12-21,0.8333333333333334,0.12842529172852035,0.5999999999999999,0.09128709291752768,0.8295131556896262,0.13516973393876425,0.5825396825396825,0.11205382394555467
overhead,old_growth,2024-12-22,0.8916666666666668,0.06972166887783961,0.6666666666666667,0.11785113019775793,0.8907230557540154,0.07068233621188742,0.6622222222222223,0.11401754250991382
overhead,old_growth,2024-12-23,0.9666666666666668,0.05432668671002207,0.7666666666666667,0.09128709291752772,0.9649203955086308,0.05795959858985446,0.76,0.0852012867230259
overhead,old_growth,2024-12-24,0.95,0.03486083443891984,0.7333333333333333,0.25276251480171835,0.949234360410831,0.035701797490737854,0.7066666666666668,0.295396782750353
overhead,old_growth,2024-12-25,0.9833333333333334,0.022821773229381902,0.8666666666666668,0.13944333775567927,0.9832679738562092,0.022911270379301046,0.8622222222222223,0.14089659985908765
overhead,old_growth,2024-12-26,0.9416666666666667,0.03726779962499652,0.7666666666666667,0.09128709291752773,0.9416013071895424,0.03727704020594238,0.76,0.0852012867230259
overhead,old_growth,2024-12-27,0.9083333333333334,0.06846531968814576,0.7666666666666667,0.19002923751652304,0.9075754746342982,0.06928289692160831,0.7555555555555556,0.20000000000000004
overhead,old_growth,2024-12-28,0.975,0.0372677996249965,0.8,0.1394433377556793,0.9747027699968877,0.0378042914499282,0.7955555555555556,0.13824294235551818
overhead,old_growth,2024-12-29,0.9666666666666668,0.034860834438919824,0.8,0.13944333775567927,0.9666013071895424,0.03488047366781367,0.7955555555555556,0.13824294235551818
overhead,old_growth,2024-12-30,0.9833333333333332,0.03726779962499651,0.7666666666666667,0.190029237516523,0.9833333333333332,0.03726779962499651,0.7666666666666667,0.18053418676968805
overhead,old_growth,2024-12-31,0.9666666666666666,0.034860834438919824,0.7666666666666667,0.09128709291752772,0.9666013071895424,0.03488047366781367,0.7155555555555556,0.14605934866804438
raw,all,2024-12-21,0.9916666666666668,0.01863389981249823,0.8,0.13944333775567927,0.9916339869281046,0.018706973929409988,0.7933333333333333,0.14089659985908765
raw,all,2024-12-22,0.9,0.10865337342004414,0.6333333333333333,0.13944333775567927,0.8994164332399628,0.10860139461414173,0.6155555555555555,0.14878105547796
raw,all,2024-12-23,0.9916666666666668,0.01863389981249823,0.8333333333333334,0.11785113019775793,0.9916339869281046,0.018706973929409985,0.8266666666666668,0.11800816042090448
raw,all,2024-12-24,0.9666666666666668,0.07453559924999298,0.8333333333333334,0.11785113019775793,0.9652661064425772,0.07766734711763973,0.8244444444444445,0.12181751176591774
