view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,mean_test_f1,std_test_f1
raw,all,2024-12-24,0.9666666666666668,0.07453559924999298,0.8333333333333334,0.11785113019775793,0.9652661064425772,0.8244444444444445,0.12181751176591774
raw,all,2024-12-25,0.9333333333333333,0.04750730937913076,0.8333333333333334,0.11785113019775793,0.9326735138499845,0.8266666666666668,0.11800816042090449
raw,all,2024-12-26,0.9416666666666667,0.04750730937913076,0.8666666666666668,0.07453559924999298,0.9412387177093059,0.857777777777778,0.07950463919999248
raw,all,2024-12-27,0.9666666666666666,0.07453559924999298,0.9666666666666668,0.07453559924999298,0.9633298933608531,0.9644444444444445,0.07950463919999248
raw,all,2024-12-28,0.9666666666666668,0.01863389981249823,0.8333333333333334,0.0,0.9665359477124185,0.8222222222222223,0.0
raw,all,2024-12-29,0.975,0.0228217732293819,0.9666666666666668,0.07453559924999298,0.9749019607843138,0.9644444444444445,0.0795046391999925
raw,all,2024-12-30,0.975,0.03726779962499651,0.8,0.07453559924999302,0.9742670401493931,0.7911111111111112,0.0695665592999935
raw,all,2024-12-31,1.0,0.0,0.9333333333333333,0.09128709291752767,1.0,0.928888888888889,0.09737289911202948
raw,new_growth,2024-12-21,0.9,0.08640183897219884,0.7333333333333334,0.149071198499986,0.9007563025210084,0.7311111111111112,0.13480667456091652
raw,new_growth,2024-12-22,0.95,0.05432668671002208,0.7,0.1394433377556793,0.9496700902583255,0.6844444444444445,0.14753112247510844
raw,new_growth,2024-12-23,1.0,0.0,0.8333333333333334,0.11785113019775793,1.0,0.8266666666666668,0.11800816042090449
raw,new_growth,2024-12-24,0.9916666666666668,0.01863389981249823,0.9666666666666668,0.07453559924999298,0.9916339869281046,0.9644444444444445,0.0795046391999925
raw,new_growth,2024-12-25,0.95,0.04564354645876385,0.8666666666666668,0.07453559924999298,0.9489910296102246,0.857777777777778,0.07950463919999248
raw,new_growth,2024-12-26,0.9583333333333333,0.05892556509887897,0.8666666666666668,0.13944333775567927,0.9559194618018146,0.8400000000000001,0.18216801361705956
raw,new_growth,2024-12-27,1.0,0.0,0.9,0.14907119849998599,1.0,0.8955555555555555,0.15468007604706535
raw,new_growth,2024-12-28,1.0,0.0,0.9666666666666668,0.07453559924999298,1.0,0.9644444444444445,0.0795046391999925
raw,new_growth,2024-12-29,1.0,0.0,0.8666666666666668,0.07453559924999298,1.0,0.857777777777778,0.07950463919999248
raw,new_growth,2024-12-30,0.9583333333333334,0.09316949906249125,0.8333333333333334,0.11785113019775793,0.9524420677361853,0.8266666666666668,0.11800816042090448
raw,new_growth,2024-12-31,0.9083333333333334,0.0994778032192777,0.7666666666666667,0.09128709291752772,0.9035734091616445,0.7311111111111112,0.13203067357789292
