view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,std_train_f1,mean_test_f1,std_test_f1
overhead,plug,2024-12-25,0.8916666666666666,0.1003466214899358,0.6666666666666666,0.11785113019775793,0.8846378349319526,0.10984194443083116,0.6577777777777778,0.12629575323006959
overhead,plug,2024-12-26,0.9083333333333334,0.15975241260567344,0.5333333333333334,0.2173067468400883,0.9082679738562092,0.15972686501785685,0.4955555555555556,0.23773623728518656
overhead,plug,2024-12-27,0.825,0.10374916331657277,0.7666666666666666,0.09128709291752772,0.8181650581960179,0.10792487508161556,0.7577777777777778,0.08833158628600801
overhead,plug,2024-12-28,0.975,0.03726779962499651,0.6333333333333333,0.13944333775567927,0.9747027699968877,0.0378042914499282,0.6133333333333333,0.16431676725154987
overhead,plug,2024-12-29,0.8666666666666668,0.08014743359029727,0.6333333333333333,0.18257418583505539,0.862248198424669,0.08296020716129092,0.6177777777777778,0.2075132005320667
overhead,plug,2024-12-30,0.8916666666666666,0.12004050242406612,0.6333333333333333,0.13944333775567927,0.8903066867772751,0.12247601130632425,0.5866666666666667,0.187478393816856
overhead,plug,2024-12-31,0.9666666666666666,0.04564354645876387,0.6333333333333333,0.13944333775567927,0.9664021164021165,0.046008173737005525,0.6088888888888888,0.15974516743400574
overhead,all_plug,2024-12-21,0.8333333333333334,0.10622957319984967,0.5666666666666667,0.2527625148017184,0.8330161250285091,0.10794446828614698,0.56,0.253932041069026
overhead,all_plug,2024-12-22,0.8166666666666668,0.14312970031098057,0.6666666666666666,0.11785113019775793,0.8190761216767409,0.14276615597313036,0.6622222222222222,0.11401754250991382
overhead,all_plug,2024-12-23,0.9916666666666666,0.01863389981249823,0.7666666666666667,0.09128709291752773,0.9916339869281046,0.018706973929409988,0.7577777777777779,0.08833158628600801
overhead,all_plug,2024-12-24,0.975,0.03726779962499651,0.8333333333333333,0.16666666666666669,0.9749673202614378,0.03728613528496715,0.8044444444444444,0.20572065441836654
overhead,all_plug,2024-12-25,0.9333333333333333,0.07569125885243727,0.7666666666666667,0.09128709291752773,0.9318020541549954,0.07810862409787098,0.76,0.0852012867230259
overhead,all_plug,2024-12-26,0.9166666666666666,0.07795119555779047,0.6666666666666666,0.11785113019775793,0.9151157683046227,0.08098663044351302,0.6555555555555556,0.12619796324000612
overhead,all_plug,2024-12-27,0.9583333333333333,0.041666666666666685,0.8,0.13944333775567927,0.9583006535947712,0.04166673074453616,0.7733333333333333,0.16953094331342805
overhead,all_plug,2024-12-28,0.9916666666666668,0.01863389981249823,0.7666666666666667,0.09128709291752772,0.9916339869281046,0.018706973929409985,0.7377777777777779,0.12212117034696972
overhead,all_plug,2024-12-29,0.9833333333333334,0.022821773229381902,0.8,0.07453559924999302,0.9832679738562092,0.022911270379301046,0.7911111111111111,0.0695665592999935
overhead,all_plug,2024-12-30,0.9916666666666668,0.01863389981249823,0.7666666666666667,0.19002923751652304,0.9916339869281046,0.018706973929409988,0.7333333333333334,0.21773242158072698
overhead,all_plug,2024-12-31,0.9916666666666668,0.01863389981249823,0.7,0.18257418583505536,0.9916339869281046,0.018706973929409988,0.6488888888888888,0.2086996778999804
overhead,new_growth,2024-12-21,0.8333333333333334,0.10622957319984967,0.5666666666666667,0.2527625148017184,0.8330161250285091,0.10794446828614698,0.56,0.253932041069026
overhead,new_growth,2024-12-22,0.9416666666666668,0.08640183897219886,0.7333333333333334,0.09128709291752772,0.9419934640522876,0.08553558712831234,0.7266666666666668,0.08734775114237137
overhead,new_growth,2024-12-23,0.9,0.10458250331675945,0.8,0.2173067468400883,0.8977836748734582,0.10837717125578732,0.7822222222222223,0.24198255217175382
